index,identifier,smiles,csd_spacegroup,wyckoff_spg,wyckoff_aflow
0,AABHTZ,CC(=O)NN1C=NN=C1N(N=Cc1c(Cl)cccc1Cl)C(C)=O,"(2, 1)",A13B2C12D6E2_aP70_2_13i_2i_12i_6i_2i:C-Cl-H-N-O,A13B2C12D6E2_aP70_2_13i_2i_12i_6i_2i:C-Cl-H-N-O
1,AACFAZ10,COC1=C(C(OC1=O)c1ccccc1Cl)C(C)=NN=C(C)C1=C(OC)C(=O)OC1c1ccccc1Cl,"(60, 1)",A13BC11DE3_oP232_60_13d_d_11d_d_3d:C-Cl-H-N-O,A13BC11DE3_oP232_60_13d_d_11d_d_3d:C-Cl-H-N-O
2,AACMHX10,CC(=O)OC(=C1CCCCC1c1ccccc1)c1ccccc1,"(61, 1)",A21B22C2_oP360_61_21c_22c_2c:C-H-O,A21B22C2_oP360_61_21c_22c_2c:C-H-O
3,AADAMC,[Br-].[NH3+]C1(C2CC3CC(C2)CC1C3)C(O)=O,"(14, 1)",AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
4,AADMPY10,Cc1[nH+]c(N)nc(N)c1C12CC3CC(CC(C3)C1)C2.CCS(=O)(=O)[O-],"(2, 1)",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S,A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
5,AADRIB,CC(=O)OC1COC(OC(C)=O)C(OC(C)=O)C1OC(C)=O.CC(=O)OC1COC(OC(C)=O)C(OC(C)=O)C1OC(C)=O,"(4, 1)",A13B18C9_mP160_4_26a_36a_18a:C-H-O,A13B18C9_mP160_4_26a_36a_18a:C-H-O
6,AAGAGG10,CC1NC(=O)CNC(=O)C(C)NC(=O)C(C)NC(=O)CNC(=O)CNC1=O.O.O,"(19, 1)",A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
7,AAGGAG10,CC1NC(=O)CNC(=O)CNC(=O)C(C)NC(=O)C(C)NC(=O)CNC1=O.O,"(4, 1)",A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
8,AANHOX,COc1ccc(cc1)C=NO.COc1ccc(cc1)C=NO,"(33, 1)",A8BC2_oP88_33_16a_2a_4a:C-N-O,A8BC2_oP88_33_16a_2a_4a:C-H-N-O
9,AANHOX01,COc1ccc(cc1)C=NO.COc1ccc(cc1)C=NO,"(33, 1)",A8B9CD2_oP160_33_16a_18a_2a_4a:C-H-N-O,A8B9CD2_oP160_33_16a_18a_2a_4a:C-H-N-O
10,AAPYPE,CC(=O)C=C(C)Nc1cncnc1N,"(14, 1)",A9B4C_mP56_14_9e_4e_e:C-N-O,A9B4C_mP56_14_9e_4e_e:C-H-N-O
11,AARBOX,OCC(O)C(O)C(O)C=NO,"(4, 1)",A5B11CD5_mP44_4_5a_11a_a_5a:C-H-N-O,A5B11CD5_mP44_4_5a_11a_a_5a:C-H-N-O
12,AAXTHP,CC(=O)OCC1OC(OC(C)=O)C(=CC1OC(C)=O)N(C(C)=O)C(C)=O,"(19, 1)",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O,A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
13,ABABAH,COc1ccc(cc1)C1OC(=O)C(C)C1(C)CC(C)C,"(61, 1)",A17B24C3_oP352_61_17c_24c_3c:C-H-O,A17B24C3_oP352_61_17c_24c_3c:C-H-O
14,ABABAI,Cc1ccc(cc1)c1nc2ccc3ccccc3c2cc1CCO,"(2, 1)",A22B19CD_aP86_2_22i_19i_i_i:C-H-N-O,A22B19CD_aP86_2_22i_19i_i_i:C-H-N-O
15,ABABAK,CCCCCCCN(C1=C(N=C2C=CC=CN12)c1ccccc1)S(=O)(=O)c1ccc(C)cc1,"(2, 1)",A27B31C3D2E_aP128_2_27i_31i_3i_2i_i:C-H-N-O-S,A27B31C3D2E_aP128_2_27i_31i_3i_2i_i:C-H-N-O-S
16,ABABEL,ClC1=C(C(=O)Nc2ccccc12)c1ccccc1,"(14, 1)",A15BC10DE_mP112_14_15e_e_10e_e_e:C-Cl-H-N-O,A15BC10DE_mP112_14_15e_e_10e_e_e:C-Cl-H-N-O
17,ABABEM,O=C1SC(=O)N2CCCCN12.O=C1SC(=O)N2CCCCN12,"(2, 1)",A6B8C2D2E_aP76_2_12i_16i_4i_4i_2i:C-H-N-O-S,A6B8C2D2E_aP76_2_12i_16i_4i_4i_2i:C-H-N-O-S
18,ABABIP,O=C1Nc2ccccc2C2=C1CCc1ccccc21,"(14, 1)",A17B13CD_mP128_14_17e_13e_e_e:C-H-N-O,A17B13CD_mP128_14_17e_13e_e_e:C-H-N-O
