# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     50.20     -51.36       0.00       0.00       0.00       0.00       0.60       0.02    0.179  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0354_m1_1.mol2'                '(unknown)'
     51.35     -51.77       0.00       0.00       0.00       0.00       0.23       0.03    0.207  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0426_m1_1.mol2'                '(unknown)'
     47.11     -44.63       1.00       0.00       0.00       0.00       0.26       0.01    0.159  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0104_m1_2.mol2'                '(unknown)'
     45.95     -41.84       1.41       0.00       0.00       0.00       1.14       2.16    0.133  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0195_m1_1.mol2'                '(unknown)'
     42.27     -39.56       0.98       0.00       0.00       0.00       0.19       0.14    0.164  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0072_m1_1.mol2'                '(unknown)'
     38.62     -36.73       0.77       0.00       0.00       0.00       0.21       0.00    0.151  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0305_m1_1.mol2'                '(unknown)'
     36.59     -29.74       2.32       0.00       0.00       0.00       1.17       2.21    0.185  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0161_m1_2.mol2'                '(unknown)'
     43.31     -37.52       0.94       1.00       0.00       0.00       0.14       0.25    0.141  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x1077_m1_2.mol2'                '(unknown)'
     34.05     -28.84       0.00       1.99       0.00       0.00       0.41       0.05    0.141  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0874_m1_1.mol2'                '(unknown)'
     47.03     -44.38       1.00       0.00       0.00       0.00       0.18       0.00    0.172  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x1249_m1_2.mol2'                '(unknown)'
     26.06     -20.56       1.91       0.00       0.00       0.00       0.12       0.00    0.167  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0991_m1_2.mol2'                '(unknown)'
     46.89     -42.78       1.56       0.00       0.00       0.00       1.40       2.22    0.132  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x2193_m1_1.mol2'                '(unknown)'
     32.67     -21.15       1.00       2.84       0.00       0.00       0.00       0.00    0.117  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0995_m1_1.mol2'                '(unknown)'
     59.31     -48.93       0.98       2.69       0.00       0.00       0.32       0.00    0.194  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x1093_m1_1.mol2'                '(unknown)'
     36.78     -30.93       2.00       0.00       0.00       0.00       1.15       2.16    0.139  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0946_m1_1.mol2'                '(unknown)'
     53.98     -45.61       3.34       0.00       0.00       0.00       1.18       0.70    0.294  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0967_m1_1.mol2'                '(unknown)'
     43.78     -44.78       0.00       0.00       0.00       0.00       0.58       0.16    0.146  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0395_m1_2.mol2'                '(unknown)'
     43.42     -41.92       1.00       0.00       0.00       0.00       0.76       0.02    0.161  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0387_m1_2.mol2'                '(unknown)'
     53.84     -47.99       1.35       1.00       0.00       0.00       0.63       0.07    0.199  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0540_m1_2.mol2'                '(unknown)'
     43.69     -43.66       0.99       0.00       0.00       2.16       0.47       0.09    0.181  '/Users/williammccorkindale/ml_physics/smi2wyck/notebooks/docking/results//gold_soln_prepared_Mpro-x0397_m1_1.mol2'                '(unknown)'
