identifier,compound_name,wyckoff
AABHTZ,"4-Acetoamido-3-(1-acetyl-2-(2,6-dichlorobenzylidene)hydrazine)-1,2,4-triazole",A13B2C12D6E2_aP70_2_13i_2i_12i_6i_2i:C-Cl-H-N-O
AABHTZ,"4-Acetoamido-3-(1-acetyl-2-(2,6-dichlorobenzylidene)hydrazine)-1,2,4-triazole",A13B2C12D6E2_aP70_2_13i_2i_12i_6i_2i:C-Cl-H-N-O
AACFAZ10,"N,N'-bis(3-Acetyl-4-(2-chlorophenyl)-4-hydroxy-2-methoxycrotonic acid lactone)-azine",A13BC11DE3_oP232_60_13d_d_11d_d_3d:C-Cl-H-N-O
AACFAZ10,"N,N'-bis(3-Acetyl-4-(2-chlorophenyl)-4-hydroxy-2-methoxycrotonic acid lactone)-azine",A13BC11DE3_oP232_60_13d_d_11d_d_3d:C-Cl-H-N-O
AACFAZ10,"N,N'-bis(3-Acetyl-4-(2-chlorophenyl)-4-hydroxy-2-methoxycrotonic acid lactone)-azine",A13BC11DE3_oP232_60_13d_d_11d_d_3d:C-Cl-H-N-O
AACMHX10,"α-Acetoxy-α,2-anti-diphenylmethylene-cyclohexane",A21B22C2_oP360_61_21c_22c_2c:C-H-O
AACMHX10,"α-Acetoxy-α,2-anti-diphenylmethylene-cyclohexane",A21B22C2_oP360_61_21c_22c_2c:C-H-O
AACMHX10,"α-Acetoxy-α,2-anti-diphenylmethylene-cyclohexane",A21B22C2_oP360_61_21c_22c_2c:C-H-O
AACMHX10,"α-Acetoxy-α,2-anti-diphenylmethylene-cyclohexane",A21B22C2_oP360_61_21c_22c_2c:C-H-O
AACMHX10,"α-Acetoxy-α,2-anti-diphenylmethylene-cyclohexane",A21B22C2_oP360_61_21c_22c_2c:C-H-O
AACMHX10,"α-Acetoxy-α,2-anti-diphenylmethylene-cyclohexane",A21B22C2_oP360_61_21c_22c_2c:C-H-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADAMC,2-Aminoadamantane-2-carboxylic acid hydrobromide,AB11C18DE2_mP132_14_e_11e_18e_e_2e:Br-C-H-N-O
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADMPY10,"2,4-Diamino-5-(1-adamantyl)-6-methylpyrimidine ethanesulfonate",A17B28C4D3E_aP106_2_17i_28i_4i_3i_i:C-H-N-O-S
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AADRIB,"1,2,3,4-Tetra-O-acetyl-α-D-ribopyranose",A13B18C9_mP160_4_26a_36a_18a:C-H-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGAGG10,Cyclo(L-alanyl-L-alanyl-glycyl-L-alanyl-glycyl-glycyl) dihydrate,A15B26C6D8_oP220_19_15a_26a_6a_8a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAGGAG10,Cyclo(L-alanyl-L-alanyl-glycyl-glycyl-L-alanyl-glycyl) monohydrate,A15B26C6D7_mP108_4_15a_26a_6a_7a:C-H-N-O
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AAMTXP,"(a,a)-bis(4,6-Dimethyl-2-thioxo-1,3,2-dioxaphosphorinanyl)-oxide",A10B20C5D2E2_mP156_14_10e_20e_5e_2e_2e:C-H-O-P-S
AANHOX,Z-Anisaldehyde oxime,A8BC2_oP88_33_16a_2a_4a:C-N-O
AANHOX,Z-Anisaldehyde oxime,A8BC2_oP88_33_16a_2a_4a:C-N-O
AANHOX01,Z-4-Methoxybenzaldoxime,A8B9CD2_oP160_33_16a_18a_2a_4a:C-H-N-O
AANHOX01,Z-4-Methoxybenzaldoxime,A8B9CD2_oP160_33_16a_18a_2a_4a:C-H-N-O
AAPYPE,2-(4'-Amino-5'-aminopyrimidyl)-pent-2-ene-4-one,A9B4C_mP56_14_9e_4e_e:C-N-O
AAPYPE,2-(4'-Amino-5'-aminopyrimidyl)-pent-2-ene-4-one,A9B4C_mP56_14_9e_4e_e:C-N-O
AARBOX,anti-D-Arabinose-oxime,A5B11CD5_mP44_4_5a_11a_a_5a:C-H-N-O
AARBOX,anti-D-Arabinose-oxime,A5B11CD5_mP44_4_5a_11a_a_5a:C-H-N-O
AARBOX,anti-D-Arabinose-oxime,A5B11CD5_mP44_4_5a_11a_a_5a:C-H-N-O
AARBOX,anti-D-Arabinose-oxime,A5B11CD5_mP44_4_5a_11a_a_5a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
AAXTHP,"1,4,6-Tri-O-acetyl-2-(N-acetylacetamido)-2,3-dideoxy-α-D-threo-hex-2-enopyranose",A16B21CD9_oP188_19_16a_21a_a_9a:C-H-N-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
ABABAH,"(3R*,4S*,5R*)-4-(2-Methylpropyl)-5-(4-methoxyphenyl)-3,4-dimethyl-4,5-dihydro-3H-furan-2-one",A17B24C3_oP352_61_17c_24c_3c:C-H-O
